#date questions answers comments votes views
2009-04-24 817 2331 2883 7875 4751012
2009-04-25 445 1310 1428 4031 2221445
2009-04-26 396 1165 1359 3994 1701163
2009-04-27 837 2406 3030 7928 4427149
2009-04-28 971 2869 3470 8886 5396659
2009-04-29 930 2858 3515 9127 5447321
2009-04-30 1428 4283 4119 11877 9117992
2009-05-01 994 3290 3578 9669 5492374
2009-05-02 508 1737 1863 5248 3214295
2009-05-03 542 1800 1911 5454 3085305
2009-05-04 1049 3228 3590 9884 5916414
2009-05-05 1167 3501 3919 11212 6747490
2009-05-06 1135 3373 4037 10447 5576508
2009-05-07 1243 3673 4279 10245 7184268
2009-05-08 1124 3288 3911 9810 6102509
2009-05-09 489 1457 1740 4746 2507175
2009-05-10 433 1340 1764 4605 2240272
2009-05-11 1014 2866 3453 8766 5569851
2009-05-12 1199 3340 3869 9930 6241796
2009-05-13 1279 3877 4507 11123 8665902
2009-05-14 1214 3774 4568 10635 6462293
2009-05-15 1080 3287 3855 9783 7070071
2009-05-16 478 1576 1855 4776 2509579
2009-05-17 494 1563 1723 4786 2522699
2009-05-18 1090 3195 3760 9589 6205939
2009-05-19 1238 3582 4179 10726 7029781
2009-05-20 1215 3559 4534 11368 7489295
2009-05-21 1183 3498 4457 11099 6406119
2009-05-22 1081 3247 3996 9806 6139769
2009-05-23 497 1564 1892 4767 4800425
2009-05-24 467 1512 1752 4745 2230658
2009-05-25 796 2306 2950 6936 4357633
2009-05-26 1106 3314 4083 10452 6017858
2009-05-27 1327 4010 4687 11906 5653413
2009-05-28 1312 3830 4572 11193 7709205
2009-05-29 1225 3939 4299 11068 7761936
2009-05-30 575 1962 2014 5877 3420403
2009-05-31 528 1807 2119 5586 2826853
2009-06-01 1091 3326 3901 10424 5903549
2009-06-02 1286 3983 4701 11345 6546960
2009-06-03 1340 4049 4770 11126 7204082
2009-06-04 1355 4437 5244 12030 9139988
2009-06-05 1149 3749 4700 11380 6395058
2009-06-06 518 1746 1942 5318 2791929
2009-06-07 489 1633 1871 5142 2784589
2009-06-08 1143 3349 3907 9938 6341245
2009-06-09 1312 4021 4620 11640 6548747
2009-06-10 1371 4071 5053 11761 6509579
2009-06-11 1338 4122 4912 12078 7955650
2009-06-12 1193 3711 4891 11109 6495281
2009-06-13 503 1636 1992 5201 2968157
2009-06-14 488 1589 2028 5268 2295315
2009-06-15 1201 3607 4373 10271 6662586
2009-06-16 1304 3796 4882 11074 6762160
2009-06-17 1362 4083 5048 11436 7459156
2009-06-18 1384 4159 5238 11571 6630774
2009-06-19 1067 3456 4461 10418 5575711
2009-06-20 504 1659 1987 5122 2373835
2009-06-21 526 1585 2028 5219 2966186
2009-06-22 1194 3473 4470 11014 6438100
2009-06-23 1401 4158 5599 12436 7746638
2009-06-24 1387 4055 5204 11738 6769006
2009-06-25 1310 3724 5005 11098 7039852
2009-06-26 1243 3513 4472 10001 5494396
2009-06-27 507 1514 1997 4888 3066748
2009-06-28 618 1773 2153 5682 3097800
2009-06-29 1328 3800 5049 11561 7284160
2009-06-30 1473 4143 5578 12528 8195379
2009-07-01 1318 3852 5296 11495 7227359
2009-07-02 1402 3887 5273 11354 6375877
2009-07-03 967 2831 3775 8518 4815794
2009-07-04 489 1502 2011 4889 2261664
2009-07-05 461 1391 1969 4932 2155191
2009-07-06 1240 3593 4953 11722 6879731
2009-07-07 1464 4280 6074 13079 6972868
2009-07-08 1470 4193 5613 12424 7378494
2009-07-09 1503 4389 5712 12220 6484621
2009-07-10 1372 3834 5333 11423 6526013
2009-07-11 618 1809 2285 5461 2848960
2009-07-12 528 1641 2219 5346 2231228
2009-07-13 1357 3984 5696 11679 7093499
2009-07-14 1427 4401 6120 12888 6604910
2009-07-15 2029 5539 6724 14542 9036062
2009-07-16 1861 5111 6507 13652 8970032
2009-07-17 1550 4346 5972 12822 7098741
2009-07-18 767 2222 2836 6260 2970923
2009-07-19 640 1910 2455 6198 3347808
2009-07-20 1509 4237 5707 12820 6748570
2009-07-21 1636 4421 6212 13408 6765638
2009-07-22 1779 4837 6657 13964 8147902
2009-07-23 1738 4776 6743 13628 6174633
2009-07-24 1517 4266 6030 12624 6438018
2009-07-25 713 1996 2810 6048 2678687
2009-07-26 664 1969 2748 6053 3009782
2009-07-27 1516 4041 5514 12127 6150790
2009-07-28 1662 4533 6272 13024 7271530
2009-07-29 1712 4616 6208 13322 7847041
2009-07-30 1667 4726 6353 13452 7701708
2009-07-31 1463 3912 5572 11866 6030717
2009-08-01 674 1813 2420 5563 2872383
2009-08-02 621 1753 2436 6214 3431973
2009-08-03 1416 3721 5244 11474 6198495
2009-08-04 1455 3825 5388 11694 6513094
2009-08-05 1604 4348 5884 12320 6728840
2009-08-06 1659 4319 6126 12678 6796363
2009-08-07 1457 3931 5391 12077 6150400
2009-08-08 695 1936 2416 5887 3759622
2009-08-09 667 1809 2482 5982 3084250
2009-08-10 1436 3751 4998 11776 5559797
2009-08-11 1594 4277 6021 13163 7066383
2009-08-12 1602 4236 5952 12034 6932506
2009-08-13 1624 4442 6241 12455 7272629
2009-08-14 1502 3997 5528 11728 5967477
2009-08-15 630 1808 2474 6197 2334412
2009-08-16 680 1838 2837 7288 2365163
2009-08-17 1495 3879 5582 12217 6267492
2009-08-18 1779 4901 6624 14149 7859329
2009-08-19 1720 4706 6610 14131 7693189
2009-08-20 1778 4742 6973 13437 7279653
2009-08-21 1440 3967 5690 12621 5950398
2009-08-22 701 1991 2723 6228 2447499
2009-08-23 706 2056 2837 7485 3023909
2009-08-24 1566 4133 5919 14614 6570101
2009-08-25 1729 4734 6656 15188 7084148
2009-08-26 1824 5000 7054 14849 7237865
2009-08-27 1761 4416 6489 13990 7921600
2009-08-28 1554 4215 6006 12828 6681850
2009-08-29 778 2120 2864 6737 3095953
2009-08-30 774 2029 2808 6307 3433928
2009-08-31 1441 3501 5207 11493 6327806
2009-09-01 1553 4034 6070 12366 6036399
2009-09-02 1625 3983 5820 12449 5739216
2009-09-03 1730 4377 6347 13253 6888507
2009-09-04 1498 4077 5900 11934 6299244
2009-09-05 720 1917 2820 6129 3004143
2009-09-06 690 1880 2608 6009 2616889
2009-09-07 1242 3130 4521 9579 4895611
2009-09-08 1664 4068 5966 13249 6780891
2009-09-09 1679 4425 6191 13425 6651289
2009-09-10 1654 4105 6109 12583 6818395
2009-09-11 1522 4030 5857 12602 5911017
2009-09-12 724 2022 2859 6289 3376900
2009-09-13 759 2032 2911 6322 2567289
2009-09-14 1506 3791 5351 11868 5624331
2009-09-15 1622 4138 6080 12692 6189085
2009-09-16 1623 4183 6326 12536 6641592
2009-09-17 1650 4176 5845 12164 6236022
2009-09-18 1467 3913 5706 11918 5517634
2009-09-19 717 1867 2413 5725 3171881
2009-09-20 707 1871 2853 5851 3363140
2009-09-21 1482 3724 5584 11673 5709520
2009-09-22 1655 4008 6075 12596 6649660
2009-09-23 1652 4242 6090 12297 6145466
2009-09-24 1583 3915 5725 12392 6053827
2009-09-25 1467 3754 5623 11537 4653818
2009-09-26 664 1768 2632 5640 2730351
2009-09-27 708 1716 2724 5633 3070381
2009-09-28 1403 3817 5341 10812 5782808
2009-09-29 1621 4117 5713 12275 6183344
2009-09-30 1688 4119 5986 12360 6445568
2009-10-01 1605 4227 6204 12837 5320256
2009-10-02 1460 3725 5464 11826 5087985
2009-10-03 794 2007 2760 5808 2724293
2009-10-04 739 1945 2878 6204 3205593
2009-10-05 1505 3786 5262 11823 5892535
2009-10-06 1732 4172 6177 12169 5741188
2009-10-07 1765 4437 6327 13199 6606389
2009-10-08 1829 4610 6446 13301 7151768
2009-10-09 1534 3966 5777 11885 4817418
2009-10-10 760 2038 2903 6494 2982506
2009-10-11 792 1956 2986 6410 2742706
2009-10-12 1552 3862 5689 11625 5971215
2009-10-13 1744 4233 5996 12762 6403485
2009-10-14 1726 4336 6562 13376 5931446
2009-10-15 1709 4486 6620 13452 6240287
2009-10-16 1477 3848 5508 11245 4424754
2009-10-17 778 2059 2958 6821 2232405
2009-10-18 801 2125 3098 7017 2847146
2009-10-19 1598 3981 5785 12799 4991027
2009-10-20 1804 4565 6831 14217 6288369
2009-10-21 1844 4624 6752 14239 6504579
2009-10-22 1843 4678 6591 14166 6575816
2009-10-23 1686 4281 6299 13223 5154283
2009-10-24 877 2373 3313 7116 3028578
2009-10-25 878 2334 3171 7317 3146440
2009-10-26 1631 3910 5754 12557 5262146
2009-10-27 1880 4736 7037 14185 6143168
2009-10-28 1859 4711 6580 13964 6621694
2009-10-29 1885 4620 7064 14152 6983408
2009-10-30 1637 4078 5888 12465 5129166
2009-10-31 943 2395 3115 7286 3371338
2009-11-01 791 2165 3107 7213 2582930
2009-11-02 1673 4211 6233 13580 5050971
2009-11-03 1807 4887 6564 14666 5905458
2009-11-04 1936 4740 6886 14627 6784412
2009-11-05 1917 5208 7267 15118 5462954
2009-11-06 1792 4975 6674 14062 5381569
2009-11-07 901 2675 3604 8017 4128579
2009-11-08 936 2484 3709 8176 2986384
2009-11-09 1779 4479 6679 13221 5202668
2009-11-10 2026 5256 7681 14794 6637902
2009-11-11 1913 4801 6980 13840 6057811
2009-11-12 2024 5289 7651 15030 7002725
2009-11-13 1763 4744 6718 14579 6669905
2009-11-14 983 2612 3573 8322 3190743
2009-11-15 895 2528 3500 8119 2535346
2009-11-16 1780 4533 6782 14829 5437955
2009-11-17 1914 4981 7388 15555 6576272
2009-11-18 2039 5176 7706 15117 5898718
2009-11-19 2047 5251 7577 14731 6528202
2009-11-20 1740 4398 6630 13111 4988716
2009-11-21 924 2420 3497 7346 3115170
2009-11-22 911 2329 3479 7343 3216232
2009-11-23 1808 4528 6414 13516 5679357
2009-11-24 1904 4878 6884 14835 6569381
2009-11-25 2001 4922 6870 13687 6415476
2009-11-26 1530 3792 5397 10990 4669335
2009-11-27 1333 3559 5232 10187 3614290
2009-11-28 878 2272 3231 6799 2568127
2009-11-29 876 2231 3358 7439 2638620
2009-11-30 1758 4331 6186 13275 5255377
2009-12-01 1876 4602 6930 13800 6415436
2009-12-02 2017 4855 7110 14726 6093241
2009-12-03 1916 5207 7560 15026 5520170
2009-12-04 1777 4734 7183 14158 4928579
2009-12-05 954 2474 3490 7448 2725435
2009-12-06 863 2356 3532 7856 2910677
2009-12-07 1807 4753 7123 14656 5074948
2009-12-08 1952 5067 7645 14813 5079923
2009-12-09 1950 4931 8022 15183 5435812
2009-12-10 1995 5120 7578 15047 5788432
2009-12-11 1802 4714 6883 13877 5312361
2009-12-12 940 2501 3588 7938 3090286
2009-12-13 902 2404 3738 7849 2769466
2009-12-14 1766 4353 6459 14023 5331796
2009-12-15 1960 5048 7752 14843 6148273
2009-12-16 2014 5256 7977 15474 5819456
2009-12-17 1901 4826 7508 14706 6668742
2009-12-18 1632 4207 6630 13346 4153281
2009-12-19 861 2259 3234 7165 2414600
2009-12-20 826 2268 3255 6976 2252720
2009-12-21 1679 4134 6245 12756 4956408
2009-12-22 1776 4638 6780 13966 5978310
2009-12-23 1653 4268 6572 12263 4891170
2009-12-24 1127 2864 4053 8531 3010641
2009-12-25 595 1464 2195 5334 2932127
2009-12-26 657 1728 2483 5621 1916523
2009-12-27 805 2019 2909 6547 3182146
2009-12-28 1332 3379 4973 10291 3716630
2009-12-29 1545 3861 5695 11515 4880017
2009-12-30 1527 3949 6076 11828 4685227
2009-12-31 1211 3154 4914 9641 4232795
2010-01-01 752 1913 2845 6044 2191388
2010-01-02 916 2359 3639 7682 3353574
2010-01-03 948 2507 3996 9110 3696815
2010-01-04 1822 4467 6786 15431 6416824
2010-01-05 1916 4815 7744 16220 7164326
2010-01-06 2075 5135 7948 16278 7169852
2010-01-07 2138 5182 8241 17541 7091446
2010-01-08 1934 4938 7705 15753 6567308
2010-01-09 1072 2726 4389 9137 3651318
2010-01-10 1080 2672 4384 9205 3308850
2010-01-11 1932 4595 7352 15851 6676361
2010-01-12 2130 5170 7838 17425 7021459
2010-01-13 2235 5273 8096 16791 6376304
2010-01-14 2122 4971 8276 16837 6884417
2010-01-15 1999 4971 7712 16183 5678759
2010-01-16 1119 2713 4224 9561 3593899
2010-01-17 1100 2630 4203 9899 3690921
2010-01-18 1998 4761 7622 15939 5905027
2010-01-19 2251 5539 8458 17272 7177597
2010-01-20 2253 5483 8717 17073 7028932
2010-01-21 2324 5409 8829 17351 6985143
2010-01-22 2047 5062 8335 17091 6299433
2010-01-23 1149 2726 4395 9662 3601716
2010-01-24 1206 2990 4741 10514 3415454
2010-01-25 2077 4797 7963 16534 6157548
2010-01-26 2038 4958 8039 17469 6868073
2010-01-27 2249 5370 8605 17358 7423035
2010-01-28 2193 5222 8615 17120 6810192
2010-01-29 2146 4964 8078 16375 6310979
2010-01-30 1172 2706 4289 9496 3764751
2010-01-31 1181 2740 4355 10037 3555340
2010-02-01 2087 4850 7806 16837 6008600
2010-02-02 2329 5305 8603 17962 7042441
2010-02-03 2265 5312 8740 18805 7761220
2010-02-04 2302 5421 8969 18806 7395096
2010-02-05 2050 4987 8245 17258 5785420
2010-02-06 1115 2810 4881 9716 3307519
2010-02-07 1060 2589 4127 9891 3449360
2010-02-08 2046 4805 7957 17089 6785144
2010-02-09 2298 5203 8474 17981 6784170
2010-02-10 2337 5276 8422 17557 7559481
2010-02-11 2231 4967 8303 16986 6430326
2010-02-12 2122 4882 8173 15919 6002456
2010-02-13 1117 2556 4258 9284 3638716
2010-02-14 1096 2573 4300 9165 2787248
2010-02-15 1926 4368 6725 14122 5720253
2010-02-16 2208 5206 8241 16671 7170269
2010-02-17 2396 5487 8622 17116 7409668
2010-02-18 2301 5320 8187 16155 6175553
2010-02-19 2120 4929 7840 15719 6765953
2010-02-20 1132 2600 4215 8986 3232669
2010-02-21 1143 2649 4373 9555 3652122
2010-02-22 2168 4817 7847 16537 6365715
2010-02-23 2279 5125 8384 17197 6725536
2010-02-24 2386 5346 8682 17888 6786963
2010-02-25 2320 5340 8699 17686 7613553
2010-02-26 2047 4707 7299 16079 6108482
2010-02-27 1139 2633 4338 9376 3146985
2010-02-28 1122 2616 4468 9511 3325117
2010-03-01 2059 4532 7058 15415 6163633
2010-03-02 2332 5338 8476 17058 6447724
2010-03-03 2426 5293 8096 16850 6739404
2010-03-04 2360 5135 8466 17173 6729533
2010-03-05 2198 4900 7854 16269 6778940
2010-03-06 1152 2608 4056 9175 3304621
2010-03-07 1204 2737 4204 9356 3689121
2010-03-08 2212 4854 7402 16215 7295487
2010-03-09 2339 5367 8653 17724 6757048
2010-03-10 2402 5340 8878 17173 6880776
2010-03-11 2370 5342 8725 16590 6617296
2010-03-12 2094 4767 7859 15439 6344783
2010-03-13 1202 2717 4283 9038 3546234
2010-03-14 1152 2597 4387 9145 3695928
2010-03-15 2122 4647 7824 16090 6145821
2010-03-16 2373 5274 8495 17632 7023847
2010-03-17 2331 5060 8283 16158 6185936
2010-03-18 2265 5005 8332 16621 7000086
2010-03-19 2144 4842 8138 16149 6009000
2010-03-20 1182 2732 4354 9626 3203672
2010-03-21 1178 2824 4624 10139 4035495
2010-03-22 2212 4986 8234 16720 6166374
2010-03-23 2378 5200 8315 16751 7640220
2010-03-24 2379 5219 8882 17074 6950388
2010-03-25 2365 5391 8755 17030 6335064
2010-03-26 2155 4837 8155 15838 6092346
2010-03-27 1161 2583 4104 8948 3552985
2010-03-28 1175 2522 4237 9058 3312477
2010-03-29 2138 4597 7521 15950 6158006
2010-03-30 2225 4991 8205 16306 5661623
2010-03-31 2301 5155 8683 17477 6487009
2010-04-01 2101 4587 7425 14650 6057402
2010-04-02 1626 3544 6077 11975 3825114
2010-04-03 1002 2244 3463 7842 2802812
2010-04-04 1011 2232 3740 7800 2595662
2010-04-05 1782 3656 6205 12859 4403074
2010-04-06 2205 4927 7691 16262 5516139
2010-04-07 2331 5000 7996 16199 6864904
2010-04-08 2326 5007 8515 16370 6951593
2010-04-09 2242 4984 8013 15663 6368502
2010-04-10 1143 2668 4511 8847 3296154
2010-04-11 1145 2479 4097 9053 3196985
2010-04-12 2105 4604 7548 15857 6123489
2010-04-13 2426 5182 8445 17011 6551403
2010-04-14 2393 5184 8484 16813 6877136
2010-04-15 2465 5146 8729 16426 7240164
2010-04-16 2163 4679 7544 15592 6130608
2010-04-17 1180 2576 4170 9412 3323046
2010-04-18 1213 2655 4409 9476 3219729
2010-04-19 2183 4682 7428 15882 5733857
2010-04-20 2380 5091 8205 16840 6351607
2010-04-21 2486 5097 8654 17091 6765650
